motif	fimo_bg_hg19	fimo_without_overlaps	fimo_without_overlaps_1e-2	fimo_without_overlaps_1e-3	fimo_without_overlaps_1e-5	fimo_without_overlaps_1e_6	fimo_without_overlaps_bg	fimo_without_overlaps_bg_1e_2	fimo_without_overlaps_bg_1e_3	fimo_without_overlaps_bg_1e_5	fimo_without_overlaps_bg_1e_6	fimo_with_overlaps	moods_without_overlaps	moods_without_overlaps_1e-2	moods_without_overlaps_1e-3	moods_without_overlaps_1e-5	moods_without_overlaps_1e_6	moods_without_overlaps_bg	moods_without_overlaps_bg_1e_2	moods_without_overlaps_bg_1e_3	moods_without_overlaps_new_bg	moods_without_overlaps_new_bg_1e_2	moods_without_overlaps_new_bg_1e_3	moods_without_overlaps_new_bg_1e_5	moods_without_overlaps_new_bg_1e_6	moods_with_overlaps
JUND_MA0491.1	0.10994985484296649	0.10862051438446681	0.00783395383295823	0.033236004175910216	0.17795409464437517	0.15158924205378974	0.10994985484296649	0.007792027569299088	0.033211078995733244	0.1749001996007984	0.15942028985507245	0.07343642611683848	0.10397091458520233	0.0075847734909284485	0.03247386978969903	0.18466898954703834	0.18614718614718614	0.029532938451081302	0.0018115640339227204	0.006757612788986707	0.1103448275862069	0.007786268714659075	0.03317642872163181	0.17759706190975866	0.19870410367170627	0.07141698829176532
USF1_MA0093.2	0.1383737517831669	0.16149644439863958	0.005004749771716398	0.026267270071594472	0.5298231180584122	0.7716701902748414	0.1383737517831669	0.0047207053238150784	0.023628893306825712	0.4794359576968273	0.7603686635944701	0.15135709456196272	0.1795248591721773	0.005122971153164646	0.02799730521078952	0.5553109521188773	0.7880184331797235	0.02448333695512874	0.0013703951914703146	0.00457622615620544	0.13834175084175085	0.004752669175819955	0.023598679364271822	0.4799759108702198	0.7912844036697247	0.16866083755177175
Atf3_MA0605.1	0.02324514451751032	0.022867513611615244	0.0014669893129143044	0.006555460188329539	0	0	0.02324514451751032	0.0014047931412405586	0.0072154885898909026	0	0	0.022625246902495958	0.02341701011614837	0.0013560837170146197	0.006361679094038511	0.09032258064516129	0.09032258064516129	0.00837055901139732	0.0003289608156689231	0.0021472650720083695	0.02390438247011952	0.0014050282949587456	0.00722647066102408	0.08714596949891068	0.08714596949891068	0.023173896922506487
ATF7_MA0834.1	0.573982632385493	0.5796024200518582	0.0597953906338366	0.24891050583657587	0.8696969696969697	0.9351851851851852	0.573982632385493	0.058315273399612025	0.24471276294689182	0.8601997146932953	0.9533333333333334	0.48467765250072276	0.563023855577047	0.05705385550798754	0.23798598513143385	0.8770949720670391	0	0.16158705530311426	0.011592628465694876	0.029139543464693905	0.574464409122322	0.05819772826066413	0.2449230187966374	0.8640132669983416	0	0.46591970121381887
ETS1_MA0098.3	0.08083937047214589	0.08536220613746485	0.003487572497947547	0.018273535531874645	0.2815608263198164	0.3562231759656652	0.08083937047214589	0.003137548347289844	0.016157827540354837	0.2743156668608037	0.3455056179775281	0.08499612841741616	0.08575152637716951	0.003776756151970087	0.01923250752682191	0.24635568513119532	0.31896551724137934	0.02022703512297118	0.0009039452265689275	0.0039785692195819155	0.08116262697375037	0.0032203705278830695	0.016172764173719257	0.27095148078134845	0.32608695652173914	0.08544671542825893
RELA_MA0107.1	0.17205071269966335	0.1849401122372058	0.014196936918164602	0.06641128166595105	0.44673091951028915	0.5404699738903395	0.17205071269966335	0.012782001825082212	0.058752247674145885	0.4199693453032625	0.5404699738903395	0.1670575773624877	0.20287776898734178	0.01562829180472296	0.07232840513019113	0.4658441167619621	0.5304347826086957	0.07635755919254454	0.0036759561069679334	0.016508624388569468	0.1608564370024705	0.01277680555083972	0.058791310131286995	0.42572671091783015	0.5304347826086957	0.1845205972297176
NFYB_MA0502.1	0.28733283803863297	0.29853605144342593	0.009056814512218387	0.06695649686811772	0.4202114580772068	0.351461038961039	0.28733283803863297	0.008468554892356806	0.0611802509435887	0.43965702036441584	0.402787456445993	0.2978839590443686	0.29522595268451624	0.009286144713371896	0.06860410668207585	0.38877980364656384	0.3107822410147992	0.024894010554171182	0.00296276927269998	0.003999867201042191	0.2877877877877878	0.008442984305713625	0.061259826159227065	0.43609022556390975	0.41563467492260064	0.2945791221994487
NRF1_MA0506.1	0.05852464685696044	0.09473660267491583	0.004118639728227038	0.01959561770731273	0.4240415105217642	0.7687471935339021	0.05852464685696044	0.0032705137570002434	0.01442706447203953	0.23541923974200632	0.6529709228824273	0.07765306883436499	0.15660246752717943	0.00546101478427471	0.028948974120344403	0.6130412890231621	0.8442256042972247	0.025754035106787674	0.0014883589071193167	0.004918633810596914	0.05850242317729137	0.003254805312628024	0.014460406591914218	0.22822381175212247	0.6549226210075733	0.13002028397565923
MYC_MA0147.3	0.06987356212567734	0.09575529203147512	0.0034298502535440507	0.021701636538112405	0.21776765375854215	0.28150134048257375	0.06987356212567734	0.00274968416309564	0.014678267006666974	0.1945727482678984	0.25726744186046513	0.07720144752714113	0.1257991338420293	0.004266439887629713	0.028313375279074487	0.2337448559670782	0	0.022343209136253372	0.0010393977073955938	0.0032135895093476433	0.07014417109576399	0.0027464045601375046	0.014650386595776797	0.19532908704883228	0.26277372262773724	0.10150594891421916
SRF_MA0083.3	0.07054202670856245	0.06787399178207275	0.0030735481824316945	0.014595583823352935	0.22396416573348266	0.46808510638297873	0.07054202670856245	0.0032282558639203903	0.015457177547398898	0.22310305775764439	0.47368421052631576	0.05419198055893074	0.05892857142857143	0.002584045500663389	0.011844208690597297	0.20787746170678337	0.3488372093023256	0.004979258499470913	0.0008553699681506599	0.0011922014931191865	0.06971267074894018	0.002977571002013749	0.014481628555822914	0.22371967654986524	0	0.04822043628013777
